title,link,snippet,source,date
"LEADING EXPERTS IN PHILOSOPHY, ECONOMICS, LAW AND ...",https://www.acm.org/binaries/content/assets/press-releases/2019/january/aies-2019.pdf,"Jan 24, 2019 ... used by an AI agent to encourage behavior in the hopes of achieving some greater good. ... This paper examines how artificial intelligence (AI) ...",www.acm.org,
CIS 460 Final Project - Mini Minecraft - UPenn CIS,https://www.cis.upenn.edu/~cis4600/16fa/hw/hwMM03/mini_minecraft_03.html,"For more bonus points, implement a pathfinding algorithm that lets the AI agent find its way to some target (such as the player or a specific block) even if ...",www.cis.upenn.edu,
