position,title,link,displayed_link,snippet,thumbnail,duration,like_numbers,view_count,comment_count,subscribers_number,displayed_date
16,"ABC World News Tonight with David Muir Full Broadcast - Dec. 15, 2024",https://www.youtube.com/watch?v=5iimanltxFs,,,"{'static': 'https://i.ytimg.com/vi/5iimanltxFs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBw8NVel3TUd-U6NOmrJUOpsWO63Q', 'rich': 'https://i.ytimg.com/vi/5iimanltxFs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBFPQGtDMSdZD7ftwK3b5Bj1g_WOg'}",19.93,4872,466192,731,18000000,2024-12-16T03:00:06Z
18,Australians living in Vanuatu recount 'terrifying' moment of earthquake | ABC News,https://www.youtube.com/watch?v=IDymrMS7THY,,,"{'static': 'https://i.ytimg.com/vi/IDymrMS7THY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5ew2d40avgWd6cR9cIbgd6YbfEA', 'rich': 'https://i.ytimg.com/vi/IDymrMS7THY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9QMo6CND2lRlTerfy9HdaHZOcyw'}",3.87,41,3034,0,2180000,2024-12-17T21:08:00Z
19,IN FULL: Jim Chalmers delivers Mid-Year Economic and Fiscal Outlook | ABC News,https://www.youtube.com/watch?v=VA0rc97mUks,,,"{'static': 'https://i.ytimg.com/vi/VA0rc97mUks/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAICVXN2lYw30QQ4ukMr12g5h2Xqw', 'rich': 'https://i.ytimg.com/vi/VA0rc97mUks/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYcRbkUZ0YHDgcVq4Hv1Z2vVuh9w'}",57.25,34,4853,0,2180000,2024-12-18T00:33:33Z
20,Why Sri Lanka's Aruna Dissanayake chose India for first overseas trip as president | The World,https://www.youtube.com/watch?v=gxnEysGfsgU,,,"{'static': 'https://i.ytimg.com/vi/gxnEysGfsgU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBlis2xdaNPjNs_FyoFJvwXo19Vgw', 'rich': 'https://i.ytimg.com/vi/gxnEysGfsgU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTMymM5_KoGy7uNiC8MzEQOsTcsw'}",6.65,109,7976,0,2180000,2024-12-17T11:33:16Z
21,"FBI, Homeland Security to deploy technology to solve drone mystery in Northeast",https://www.youtube.com/watch?v=C9JyPPAkyHA,,,"{'static': 'https://i.ytimg.com/vi/C9JyPPAkyHA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGWzqSGDq1uX0bR0WlOwd488uckg', 'rich': 'https://i.ytimg.com/vi/C9JyPPAkyHA/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjiiSKGIZMh6XMX-9USQ84bIF5DA'}",2.38,226,23294,278,18000000,2024-12-17T13:42:16Z
23,Economist Chris Richardson on Labor’s growing budget deficit | ABC News,https://www.youtube.com/watch?v=eE1vafrFoTo,,,"{'static': 'https://i.ytimg.com/vi/eE1vafrFoTo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXIsNwMA424jXHhfwTNSSyoJizXw', 'rich': 'https://i.ytimg.com/vi/eE1vafrFoTo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAa_KlmKIKCkIeFdo_xiaoyRCFVpQ'}",5.08,72,4464,0,2180000,2024-12-18T02:35:29Z
24,Death toll rises in Vanuatu earthquake + Botany double murder investigation | ABC NEWS,https://www.youtube.com/watch?v=A_zZHOijEWE,,,"{'static': 'https://i.ytimg.com/vi/A_zZHOijEWE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApVs6CBQzTJZFiWRbgwINN5rheig', 'rich': 'https://i.ytimg.com/vi/A_zZHOijEWE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgY8XbXyHP7nPg1Cxqn7FiMGX-nQ'}",10.7,83,7607,0,2180000,2024-12-17T21:49:54Z
25,Russia vows revenge against Ukraine after assassination of top general | ABC News,https://www.youtube.com/watch?v=eIB0uI23oHk,,,"{'static': 'https://i.ytimg.com/vi/eIB0uI23oHk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAhczTJmxFvZqdhSlnseSIxb1PsUg', 'rich': 'https://i.ytimg.com/vi/eIB0uI23oHk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBU635T3VtKgv-qOOOGdHGftk6WnA'}",2.17,64,3867,0,2180000,2024-12-17T21:40:00Z
5,"ABC World News Tonight with David Muir Full Broadcast - Dec. 17, 2024",https://www.youtube.com/watch?v=VjH-dIg7fQQ,,,"{'static': 'https://i.ytimg.com/vi/VjH-dIg7fQQ/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBxpgY_6Xq7SDf1tOjOenmf4OG0rw', 'rich': 'https://i.ytimg.com/vi/VjH-dIg7fQQ/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAGVacpRMZngl5tFfo_kbDIHqibxA'}",19.7,3616,244037,511,18000000,2024-12-18T03:00:25Z
6,Police search for motive in deadly Abundant Life Christian School shooting,https://www.youtube.com/watch?v=c72_TmGSMaU,,,"{'static': 'https://i.ytimg.com/vi/c72_TmGSMaU/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAPML_MqJw3fj86_yt9KOQed9ImoQ', 'rich': 'https://i.ytimg.com/vi/c72_TmGSMaU/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAHSSl_Qa56gemjvVRZtPTEpP3UOw'}",2.28,341,39808,258,18000000,2024-12-18T00:46:39Z
7,"LIVE: ABC News Live - Tuesday, December 17 | ABC News",https://www.youtube.com/watch?v=iZnmKAOb9wI,,,"{'static': 'https://i.ytimg.com/vi/iZnmKAOb9wI/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBtcSqLH-xqCFyVUptE3MD5bJ6osA', 'rich': 'https://i.ytimg.com/vi/iZnmKAOb9wI/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLAfy7uILX0aEVNEjaZyohiOXk7UOw'}",714.98,477,84826,0,18000000,2024-12-18T04:32:07Z
8,LIVE: Latest News Headlines and Events l ABC News Live,https://www.youtube.com/watch?v=-mvUkiILTqI,,,"{'static': 'https://i.ytimg.com/vi/-mvUkiILTqI/hq720.jpg?v=664b6e7d&sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAP_5-1WObITBiWwhFbKHnwmTC-eQ', 'rich': 'https://i.ytimg.com/vi/-mvUkiILTqI/hq720.jpg?v=664b6e7d&sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBrCfRgWmZ8mhfuDgbdq6gRezxKmQ'}",0.0,34020,16309646,0,18000000,2024-05-20T15:08:33Z
12,"ABC World News Tonight with David Muir Full Broadcast - Dec. 13, 2024",https://www.youtube.com/watch?v=afAZV-SypGM,,,"{'static': 'https://i.ytimg.com/vi/afAZV-SypGM/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBpZojgzGYyW3FOzf_pdAO9XrjhVQ', 'rich': 'https://i.ytimg.com/vi/afAZV-SypGM/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDyS6e_pqRa-DPVlLP7KrFUxRluRg'}",19.47,5982,624151,913,18000000,2024-12-14T03:24:51Z
13,Economist Chris Richardson on Labor’s growing budget deficit | ABC News,https://www.youtube.com/watch?v=eE1vafrFoTo,,,"{'static': 'https://i.ytimg.com/vi/eE1vafrFoTo/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBqttUpqVjW4SNv-c5h9h4Qi_FAKA', 'rich': 'https://i.ytimg.com/vi/eE1vafrFoTo/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDDymQ_ezaWLvwxs80nRJAkYfyUfQ'}",5.08,72,4464,0,2180000,2024-12-18T02:35:29Z
14,"ABC World News Tonight with David Muir Full Broadcast - Dec. 12, 2024",https://www.youtube.com/watch?v=6AWeIJI8vBw,,,"{'static': 'https://i.ytimg.com/vi/6AWeIJI8vBw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBbVqQQxzUPQtdkdWKtAfs2z1mgWg', 'rich': 'https://i.ytimg.com/vi/6AWeIJI8vBw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDynN6aT6VaaOQLS_i3BletEID7cA'}",19.98,5492,542865,827,18000000,2024-12-13T03:00:04Z
15,50 Cent on new projects and upcoming docuseries on Diddy allegations,https://www.youtube.com/watch?v=W1RUATU3VHk,,,"{'static': 'https://i.ytimg.com/vi/W1RUATU3VHk/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBs-BFaw5jwtsfGefsoKNw7S3EA0A', 'rich': 'https://i.ytimg.com/vi/W1RUATU3VHk/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBZwohlc3BUpf510yD7ltsoeMjgXw'}",6.98,278,11115,66,18000000,2024-12-18T04:15:02Z
16,ABC News Live Prime: Luigi Mangione indicted; WI shooting investigation; Genetically-modified organs,https://www.youtube.com/watch?v=D_7x2unobkw,,,"{'static': 'https://i.ytimg.com/vi/D_7x2unobkw/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLDOgjAhoNb8CzigVzZlxCblFpUqrg', 'rich': 'https://i.ytimg.com/vi/D_7x2unobkw/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBUFtaOTc6nVDqJqwqN5OIrvwjupg'}",87.37,193,15578,9,18000000,2024-12-18T01:30:30Z
17,Luigi Mangione charged with first-degree murder as act of terrorism in New York,https://www.youtube.com/watch?v=ZUPlIny8VGM,,,"{'static': 'https://i.ytimg.com/vi/ZUPlIny8VGM/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLCfrvJDljygd55i4hiTUlF3x1FRvQ', 'rich': 'https://i.ytimg.com/vi/ZUPlIny8VGM/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD0NHspGOrLu6onbG0ANWjPAl4v4A'}",3.22,384,39111,824,18000000,2024-12-18T02:30:01Z
18,"Good Morning America Full Broadcast — Tuesday, December 17, 2024",https://www.youtube.com/watch?v=V1rbrmu_hcM,,,"{'static': 'https://i.ytimg.com/vi/V1rbrmu_hcM/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLD9a33Qe1qd4gGl8hCWKpfTwSxiYw', 'rich': 'https://i.ytimg.com/vi/V1rbrmu_hcM/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBV38Fdq8x0LOfVnJHVfq5EfsHxMA'}",68.05,488,67206,81,18000000,2024-12-17T18:30:31Z
